Time,Pulse,Heart Rate,Response Pad,Correct Response,
0,4.89036,0,0,0,Instructions.jpg
0.05,4.89128,0,0,0,
0.1,4.8922,0,0,0,
0.15,4.89311,0,0,0,
0.2,4.89403,0,0,0,
0.25,4.89466,0,0,0,
0.3,4.89555,0,0,0,
0.35,4.89618,0,0,0,
0.4,4.89708,0,0,0,
0.45,4.89775,0,0,0,
0.5,4.89881,0,0,0,
0.55,4.89967,0,0,0,
0.6,4.90045,0,0,0,
0.65,4.90119,0,0,0,
0.7,4.90196,0,0,0,
0.75,4.90259,0,0,0,
0.8,4.90338,0,0,0,
0.85,4.90395,0,0,0,
0.9,4.90471,0,0,0,
0.95,4.90532,0,0,0,Diff-Blue-Black.png
1,4.90623,0,0,0,
1.05,4.90686,0,0,0,
1.1,4.90766,0,0,0,
1.15,4.90807,0,0,0,
1.2,4.90868,0,0,0,
1.25,4.90903,0,0,0,
1.3,4.90964,0,0,0,
1.35,4.91051,0,0,0,
1.4,4.91137,0,0,0,
1.45,4.91208,0,0,0,
1.5,4.91295,0,0,0,
1.55,4.91356,0,0,0,
1.6,4.91421,0,0,0,
1.65,4.91508,0,0,0,
1.7,4.916,0,0,0,
1.75,4.91691,0,0,0,
1.8,4.91783,0,0,0,Diff-Yellow-Red.png
1.85,4.91875,0,0,0,
1.9,4.91986,0,0,0,
1.95,4.92109,0,0,0,
2,4.9222,0,0,0,
2.05,4.92345,0,0,0,
2.1,4.92458,0,0,0,
2.15,4.92587,0,8,330,
2.2,4.92699,0,8,330,
2.25,4.92821,0,8,0,
2.3,4.92943,0,0,0,
2.35,4.93055,0,0,0,
2.4,4.93187,0,0,0,
2.45,4.93287,0,0,0,
2.5,4.93403,0,8,0,
2.55,4.93523,0,8,0,Diff-Black-Yellow.png
2.6,4.93618,0,8,0,
2.65,4.93736,0,0,0,
2.7,4.93828,0,0,0,
2.75,4.9392,0,0,0,
2.8,4.94021,0,0,0,
2.85,4.94133,0,0,0,
2.9,4.94225,0,0,0,
2.95,4.94321,0,0,0,
3,4.9445,0,0,0,
3.05,4.94591,0,0,0,
3.1,4.94718,0,0,0,
3.15,4.94865,0,0,0,
3.2,4.94989,0,0,0,
3.25,4.95121,0,8,0,
3.3,4.95241,0,8,0,
3.35,4.95354,0,8,0,
3.4,4.95457,0,0,0,Diff-Red-Blue.png
3.45,4.95576,0,0,0,
3.5,4.95689,0,0,0,
3.55,4.9576,0,0,0,
3.6,4.95818,0,0,0,
3.65,4.95898,0,0,0,
3.7,4.95958,0,0,0,
3.75,4.96025,0,0,0,
3.8,4.96106,0,0,0,
3.85,4.96167,0,0,0,
3.9,4.96242,0,8,480,
3.95,4.9633,0,8,480,
4,4.96393,0,8,0,
4.05,4.96462,0,0,0,
4.1,4.96544,0,0,0,
4.15,4.96631,0,0,0,Same-Green-Green.png
4.2,4.96698,0,0,0,
4.25,4.96789,0,0,0,
4.3,4.9688,0,0,0,
4.35,4.96971,0,0,0,
4.4,4.97058,0,0,0,
4.45,4.97149,0,0,0,
4.5,4.97215,0,0,0,
4.55,4.97276,0,0,0,
4.6,4.97281,0,0,0,
4.65,4.97337,0,0,0,
4.7,4.97362,0,0,0,
4.75,4.97398,0,0,0,
4.8,4.97433,0,0,0,
4.85,4.9749,0,0,0,
4.9,4.97525,0,0,0,
4.95,4.97583,0,1,0,Diff-Red-Black.png
5,4.97643,0,1,0,
5.05,4.97693,0,0,0,
5.1,4.97734,0,0,0,
5.15,4.97766,0,0,0,
5.2,4.97797,0,0,0,
5.25,4.97856,0,0,0,
5.3,4.97948,0,0,0,
5.35,4.98039,0,0,0,
5.4,4.98145,0,0,0,
5.45,4.98253,0,0,0,
5.5,4.98376,0,8,510,
5.55,4.98497,0,8,510,
5.6,4.98619,0,8,0,
5.65,4.98741,0,0,0,
5.7,4.98863,0,0,0,Same-Blue-Blue.png
5.75,4.98995,0,0,0,
5.8,4.99107,0,0,0,
5.85,4.99214,0,0,0,
5.9,4.99321,0,0,0,
5.95,4.99413,0,0,0,
6,4.99511,0,0,0,
6.05,4.99626,0,0,0,
6.1,4.99718,0,0,0,
6.15,4.99821,0,0,0,
6.2,4.99941,0,0,0,
6.25,5.00084,0,0,0,
6.3,5.00237,0,0,0,
6.35,5.00384,0,0,0,
6.4,5.00514,0,1,665,
6.45,5.00659,0,1,665,
6.5,5.00788,0,0,0,
6.55,5.00938,0,0,0,Diff-Yellow-Green.png
6.6,5.01072,0,0,0,
6.65,5.01207,0,0,0,
6.7,5.01335,0,0,0,
6.75,5.01496,0,0,0,
6.8,5.01673,0,0,0,
6.85,5.01855,0,0,0,
6.9,5.02037,0,0,0,
6.95,5.02192,0,0,0,
7,5.02363,0,0,0,
7.05,5.02528,0,0,0,
7.1,5.02683,0,0,0,
7.15,5.02832,0,0,0,
7.2,5.02983,0,0,0,
7.25,5.03115,0,0,0,
7.3,5.03264,0,0,0,Diff-Blue-Yellow.png
7.35,5.0341,0,8,0,
7.4,5.03547,0,8,0,
7.45,5.03679,0,0,0,
7.5,5.03807,0,0,0,
7.55,5.03931,0,0,0,
7.6,5.04084,0,0,0,
7.65,5.04215,0,0,0,
7.7,5.04356,0,0,0,
7.75,5.04479,0,0,0,
7.8,5.04626,0,0,0,
7.85,5.04753,0,0,0,
7.9,5.04875,0,0,0,
7.95,5.05028,0,0,0,
8,5.05181,0,0,0,
8.05,5.05333,0,0,0,Same-Red-Red.png
8.1,5.05486,0,1,0,
8.15,5.05608,0,0,0,
8.2,5.05734,0,0,0,
8.25,5.05882,0,0,0,
8.3,5.06035,0,0,0,
8.35,5.06182,0,0,0,
8.4,5.0632,0,0,0,
8.45,5.06464,0,0,0,
8.5,5.06615,0,0,0,
8.55,5.06737,0,0,0,
8.6,5.06862,0,0,0,
8.65,5.07011,0,0,0,
8.7,5.07153,0,0,0,
8.75,5.07286,0,0,0,
8.8,5.07409,0,1,0,
8.85,5.07533,0,1,0,Diff-Yellow-Black.png
8.9,5.07647,0,1,0,
8.95,5.07748,0,0,0,
9,5.07897,0,0,0,
9.05,5.07993,0,0,0,
9.1,5.08096,0,0,0,
9.15,5.08178,0,0,0,
9.2,5.08269,0,0,0,
9.25,5.08361,0,0,0,
9.3,5.08471,0,0,0,
9.35,5.08542,0,0,0,
9.4,5.08603,0,0,0,
